dataset,method,seed,robust_mode,dropout_rate,recall@10,recall@20,recall@50,ndcg@10,ndcg@20,ndcg@50,precision@10,map@10,log_file,status
clothing,baseline_drop_text,2024,normal,,0.0669,0.0974,0.1493,0.0361,0.0439,0.0542,0.0069,0.0265,SMORE_clothing_baseline_seed2024_drop_text.log,ok
clothing,baseline_noise_both,2024,normal,,0.0664,0.0971,0.1495,0.0362,0.044,0.0545,0.0069,0.0267,SMORE_clothing_baseline_seed2024_noise_both.log,ok
clothing,baseline_noise_image,2024,normal,,0.0672,0.0976,0.1497,0.0364,0.0441,0.0545,0.007,0.0267,SMORE_clothing_baseline_seed2024_noise_image.log,ok
clothing,baseline_noise_text,2024,normal,,0.067,0.0966,0.1495,0.0361,0.0437,0.0542,0.0069,0.0265,SMORE_clothing_baseline_seed2024_noise_text.log,ok
clothing,baseline,2024,normal,,0.0671,0.0979,0.1498,0.0364,0.0442,0.0546,0.007,0.0268,SMORE_clothing_baseline_seed2024_normal.log,ok
clothing,baseline_drop_image,42,normal,,0.066,0.0978,0.1509,0.0358,0.0439,0.0545,0.0069,0.0264,SMORE_clothing_baseline_seed42_drop_image.log,ok
clothing,baseline_drop_text,42,normal,,0.0648,0.0981,0.1503,0.0356,0.044,0.0545,0.0067,0.0264,SMORE_clothing_baseline_seed42_drop_text.log,ok
clothing,baseline_noise_both,42,normal,,0.0653,0.0969,0.1497,0.0351,0.0431,0.0537,0.0068,0.0257,SMORE_clothing_baseline_seed42_noise_both.log,ok
clothing,baseline_noise_image,42,normal,,0.0654,0.0967,0.1495,0.0352,0.0432,0.0537,0.0068,0.0258,SMORE_clothing_baseline_seed42_noise_image.log,ok
clothing,baseline_noise_text,42,normal,,0.0651,0.0971,0.151,0.0356,0.0438,0.0546,0.0068,0.0263,SMORE_clothing_baseline_seed42_noise_text.log,ok
clothing,baseline,42,normal,,0.0653,0.0972,0.1499,0.0354,0.0436,0.0541,0.0068,0.0261,SMORE_clothing_baseline_seed42_normal.log,ok
clothing,baseline_drop_image,999,normal,,0.0669,0.0979,0.1501,0.0363,0.0442,0.0546,0.007,0.0267,SMORE_clothing_baseline_seed999_drop_image.log,ok
clothing,baseline_drop_text,999,normal,,0.0671,0.0978,0.1498,0.0363,0.0441,0.0545,0.007,0.0267,SMORE_clothing_baseline_seed999_drop_text.log,ok
clothing,baseline_noise_both,999,normal,,0.0665,0.0981,0.1519,0.0363,0.0442,0.055,0.0069,0.0267,SMORE_clothing_baseline_seed999_noise_both.log,ok
clothing,baseline_noise_image,999,normal,,0.0655,0.097,0.1515,0.036,0.044,0.0549,0.0068,0.0267,SMORE_clothing_baseline_seed999_noise_image.log,ok
